Credits,Country,IncludeVat,Price Per SMS
20,Portugal,TRUE,0.12
50,Portugal,TRUE,0.10
100,Portugal,TRUE,0.10
200,Portugal,TRUE,0.10
400,Portugal,TRUE,0.09
1000,Portugal,TRUE,0.09
2000,Portugal,TRUE,0.09
3000,Portugal,TRUE,0.09
5000,Portugal,TRUE,0.09
10000,Portugal,TRUE,0.06
20000,Portugal,TRUE,0.05
20,Portugal,FALSE,0.10
50,Portugal,FALSE,0.08
100,Portugal,FALSE,0.08
200,Portugal,FALSE,0.08
400,Portugal,FALSE,0.07
1000,Portugal,FALSE,0.07
2000,Portugal,FALSE,0.07
3000,Portugal,FALSE,0.07
5000,Portugal,FALSE,0.07
10000,Portugal,FALSE,0.05
20000,Portugal,FALSE,0.04
20,Angola,TRUE,0.12
50,Angola,TRUE,0.10
100,Angola,TRUE,0.10
200,Angola,TRUE,0.10
400,Angola,TRUE,0.09
1000,Angola,TRUE,0.09
2000,Angola,TRUE,0.09
3000,Angola,TRUE,0.09
5000,Angola,TRUE,0.09
10000,Angola,TRUE,0.06
20000,Angola,TRUE,0.05
20,Angola,FALSE,0.10
50,Angola,FALSE,0.08
100,Angola,FALSE,0.08
200,Angola,FALSE,0.08
400,Angola,FALSE,0.07
1000,Angola,FALSE,0.07
2000,Angola,FALSE,0.07
3000,Angola,FALSE,0.07
5000,Angola,FALSE,0.07
10000,Angola,FALSE,0.05
20000,Angola,FALSE,0.04
20,Mozambique,TRUE,0.08
50,Mozambique,TRUE,0.07
100,Mozambique,TRUE,0.07
200,Mozambique,TRUE,0.07
400,Mozambique,TRUE,0.06
1000,Mozambique,TRUE,0.06
2000,Mozambique,TRUE,0.06
3000,Mozambique,TRUE,0.06
5000,Mozambique,TRUE,0.06
10000,Mozambique,TRUE,0.04
20000,Mozambique,TRUE,0.04
20,Mozambique,FALSE,0.07
50,Mozambique,FALSE,0.06
100,Mozambique,FALSE,0.06
200,Mozambique,FALSE,0.06
400,Mozambique,FALSE,0.05
1000,Mozambique,FALSE,0.05
2000,Mozambique,FALSE,0.05
3000,Mozambique,FALSE,0.05
5000,Mozambique,FALSE,0.05
10000,Mozambique,FALSE,0.04
20000,Mozambique,FALSE,0.03
20,Brazil,TRUE,0.10
50,Brazil,TRUE,0.09
100,Brazil,TRUE,0.09
200,Brazil,TRUE,0.08
400,Brazil,TRUE,0.08
1000,Brazil,TRUE,0.07
2000,Brazil,TRUE,0.07
3000,Brazil,TRUE,0.07
5000,Brazil,TRUE,0.07
10000,Brazil,TRUE,0.05
20000,Brazil,TRUE,0.04
20,Brazil,FALSE,0.08
50,Brazil,FALSE,0.07
100,Brazil,FALSE,0.07
200,Brazil,FALSE,0.07
400,Brazil,FALSE,0.06
1000,Brazil,FALSE,0.06
2000,Brazil,FALSE,0.06
3000,Brazil,FALSE,0.06
5000,Brazil,FALSE,0.06
10000,Brazil,FALSE,0.04
20000,Brazil,FALSE,0.03
20,Spain,TRUE,0.14
50,Spain,TRUE,0.13
100,Spain,TRUE,0.12
200,Spain,TRUE,0.12
400,Spain,TRUE,0.11
1000,Spain,TRUE,0.10
2000,Spain,TRUE,0.10
3000,Spain,TRUE,0.10
5000,Spain,TRUE,0.10
10000,Spain,TRUE,0.07
20000,Spain,TRUE,0.06
20,Spain,FALSE,0.12
50,Spain,FALSE,0.10
100,Spain,FALSE,0.10
200,Spain,FALSE,0.10
400,Spain,FALSE,0.09
1000,Spain,FALSE,0.08
2000,Spain,FALSE,0.08
3000,Spain,FALSE,0.08
5000,Spain,FALSE,0.08
10000,Spain,FALSE,0.06
20000,Spain,FALSE,0.05